"Permit Number","Permit Name","DBA","Class","Class Issue Status","Date Of Action","Street1","Street2","City","State","Zip","City/Twp of Premises","County","Agency Number","Quota Exempt Class","Site Location Vote"
"3993310","1330 HOSPITALITY INC","","D6","ISSUED","10/24/2022","1330 OLD RIVER RD","","CLEVELAND","OH","44113","CLEVELAND","CUYAHOGA","00917","TRANSFER EXEMPT","NO"
"88651080001","1330 OLD RIVER LLC","DBA ROC BAR 1ST FL & PATIO","D1","ISSUED","1/17/2008","1220 OLD RIVER RD","","CLEVELAND","OH","44113","CLEVELAND","CUYAHOGA","00944","NOT A QUOTA EXEMPT CLASS","NO"
"88651080001","1330 OLD RIVER LLC","DBA ROC BAR 1ST FL & PATIO","D2","ISSUED","1/17/2008","1220 OLD RIVER RD","","CLEVELAND","OH","44113","CLEVELAND","CUYAHOGA","00944","NOT A QUOTA EXEMPT CLASS","NO"
"88651080001","1330 OLD RIVER LLC","DBA ROC BAR 1ST FL & PATIO","D3","ISSUED","1/17/2008","1220 OLD RIVER RD","","CLEVELAND","OH","44113","CLEVELAND","CUYAHOGA","00944","NOT A QUOTA EXEMPT CLASS","NO"
"88651080001","1330 OLD RIVER LLC","DBA ROC BAR 1ST FL & PATIO","D3A","ISSUED","1/17/2008","1220 OLD RIVER RD","","CLEVELAND","OH","44113","CLEVELAND","CUYAHOGA","00944","NOT A QUOTA EXEMPT CLASS","NO"
"6534145","13429 LHB LLC","DBA SIDETRACK CAFE 1ST FL & BSMT & PATIO","D1","ISSUED","5/19/2020","13429 LAKEWOOD HGTS BLVD","","CLEVELAND","OHIO","44107","CLEVELAND","CUYAHOGA","00925","NOT A QUOTA EXEMPT CLASS","NO"
"6534145","13429 LHB LLC","DBA SIDETRACK CAFE 1ST FL & BSMT & PATIO","D2","ISSUED","5/19/2020","13429 LAKEWOOD HGTS BLVD","","CLEVELAND","OHIO","44107","CLEVELAND","CUYAHOGA","00925","NOT A QUOTA EXEMPT CLASS","NO"
"6534145","13429 LHB LLC","DBA SIDETRACK CAFE 1ST FL & BSMT & PATIO","D3","ISSUED","5/19/2020","13429 LAKEWOOD HGTS BLVD","","CLEVELAND","OHIO","44107","CLEVELAND","CUYAHOGA","00925","NOT A QUOTA EXEMPT CLASS","NO"
"6534145","13429 LHB LLC","DBA SIDETRACK CAFE 1ST FL & BSMT & PATIO","D3A","ISSUED","5/19/2020","13429 LAKEWOOD HGTS BLVD","","CLEVELAND","OHIO","44107","CLEVELAND","CUYAHOGA","00925","NOT A QUOTA EXEMPT CLASS","NO"
"6534145","13429 LHB LLC","DBA SIDETRACK CAFE 1ST FL & BSMT & PATIO","D6","ISSUED","5/19/2020","13429 LAKEWOOD HGTS BLVD","","CLEVELAND","OHIO","44107","CLEVELAND","CUYAHOGA","00925","NOT A QUOTA EXEMPT CLASS","NO"
"2850280","1404 W 29TH LLC","DBA JUKEBOX 1ST FL & BSMT COOLER & PATIOS","D5","ISSUED","7/29/2014","1404-06 W 29TH ST","","CLEVELAND","OH","44113","CLEVELAND","CUYAHOGA","00944","NOT A QUOTA EXEMPT CLASS","NO"
"2850280","1404 W 29TH LLC","DBA JUKEBOX 1ST FL & BSMT COOLER & PATIOS","D6","ISSUED","7/29/2014","1404-06 W 29TH ST","","CLEVELAND","OH","44113","CLEVELAND","CUYAHOGA","00944","NOT A QUOTA EXEMPT CLASS","NO"
"6549651","1423 E 21ST LLC","","D5","ISSUED","8/11/2023","1417 & 1423 E 21ST ST","","CLEVELAND","OH","44114","CLEVELAND","CUYAHOGA","00914","NOT A QUOTA EXEMPT CLASS","NO"
"6549651","1423 E 21ST LLC","","D6","ISSUED","8/11/2023","1417 & 1423 E 21ST ST","","CLEVELAND","OH","44114","CLEVELAND","CUYAHOGA","00914","NOT A QUOTA EXEMPT CLASS","NO"
"2847719","14460 EUCLID AVE LLC","DBA KAHNS FOOD MARKET","C1","ISSUED","4/9/2008","14460 EUCLID AV 1ST FL & BSMT","","EAST CLEVELAND","OHIO","44112","EAST CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"2847719","14460 EUCLID AVE LLC","DBA KAHNS FOOD MARKET","C2","ISSUED","4/9/2008","14460 EUCLID AV 1ST FL & BSMT","","EAST CLEVELAND","OHIO","44112","EAST CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"6549670","14510 INC","DBA KINSMAN SUNOCO","C1","ISSUED","10/7/2002","14510 KINSMAN AV","","CLEVELAND","OHIO","44120","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"6549670","14510 INC","DBA KINSMAN SUNOCO","C2","ISSUED","2/3/2004","14510 KINSMAN AV","","CLEVELAND","OHIO","44120","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"6549670","14510 INC","DBA KINSMAN SUNOCO","D6","ISSUED","2/3/2004","14510 KINSMAN AV","","CLEVELAND","OHIO","44120","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"6549673","14720 HARVARD INC","DBA HARVARD DELI","C2","ISSUED","9/16/2003","14720 HARVARD AV","","CLEVELAND","OHIO","44128","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"6549673","14720 HARVARD INC","DBA HARVARD DELI","C2X","ISSUED","9/16/2003","14720 HARVARD AV","","CLEVELAND","OHIO","44128","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"2714242","1515 LLC","DBA BAR 216","D1","ISSUED","8/14/2014","3232 LAKESIDE AV","","CLEVELAND","OHIO","44114","CLEVELAND","CUYAHOGA","00941","NOT A QUOTA EXEMPT CLASS","NO"
"2714242","1515 LLC","DBA BAR 216","D2","ISSUED","8/14/2014","3232 LAKESIDE AV","","CLEVELAND","OHIO","44114","CLEVELAND","CUYAHOGA","00941","NOT A QUOTA EXEMPT CLASS","NO"
"2714242","1515 LLC","DBA BAR 216","D3","ISSUED","8/14/2014","3232 LAKESIDE AV","","CLEVELAND","OHIO","44114","CLEVELAND","CUYAHOGA","00941","NOT A QUOTA EXEMPT CLASS","NO"
"2714242","1515 LLC","DBA BAR 216","D3A","ISSUED","8/14/2014","3232 LAKESIDE AV","","CLEVELAND","OHIO","44114","CLEVELAND","CUYAHOGA","00941","NOT A QUOTA EXEMPT CLASS","NO"
"2714242","1515 LLC","DBA BAR 216","D6","ISSUED","8/14/2014","3232 LAKESIDE AV","","CLEVELAND","OHIO","44114","CLEVELAND","CUYAHOGA","00941","NOT A QUOTA EXEMPT CLASS","NO"
"6534095","152 GAS INC","","C1","ISSUED","5/4/2022","657 E 152ND ST","","CLEVELAND","OHIO","44110","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"6534095","152 GAS INC","","C2","ISSUED","5/4/2022","657 E 152ND ST","","CLEVELAND","OHIO","44110","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"6547810","15428 LAKESHORE INC","DBA CONVENIENT FOOD MART","C1","ISSUED","8/8/2017","15428 LAKE SHORE BLVD","","CLEVELAND","OHIO","44110","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"6547810","15428 LAKESHORE INC","DBA CONVENIENT FOOD MART","C2","ISSUED","8/8/2017","15428 LAKE SHORE BLVD","","CLEVELAND","OHIO","44110","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"6547810","15428 LAKESHORE INC","DBA CONVENIENT FOOD MART","D6","ISSUED","8/8/2017","15428 LAKE SHORE BLVD","","CLEVELAND","OHIO","44110","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"65502440003","15532 INC","","D5","ISSUED","4/7/1994","15532 EUCLID AV BAR 3","","EAST CLEVELAND","OHIO","44112","EAST CLEVELAND","CUYAHOGA","00945","NOT A QUOTA EXEMPT CLASS","NO"
"65502440003","15532 INC","","D6","ISSUED","4/7/1994","15532 EUCLID AV BAR 3","","EAST CLEVELAND","OHIO","44112","EAST CLEVELAND","CUYAHOGA","00945","NOT A QUOTA EXEMPT CLASS","NO"
"6550244","15532 INC","","D5","ISSUED","4/7/1994","15532 EUCLID AV 1ST FL & BSMT","","EAST CLEVELAND","OHIO","44112","EAST CLEVELAND","CUYAHOGA","00945","NOT A QUOTA EXEMPT CLASS","NO"
"6550244","15532 INC","","D6","ISSUED","4/7/1994","15532 EUCLID AV 1ST FL & BSMT","","EAST CLEVELAND","OHIO","44112","EAST CLEVELAND","CUYAHOGA","00945","NOT A QUOTA EXEMPT CLASS","NO"
"6548374","1616 ARABIC RESTAURANT INC","DBA KAN ZAMAN & PATIO","D1","ISSUED","5/16/2008","1616 W 25TH ST","","CLEVELAND","OH","44113","CLEVELAND","CUYAHOGA","00944","NOT A QUOTA EXEMPT CLASS","NO"
"6548374","1616 ARABIC RESTAURANT INC","DBA KAN ZAMAN & PATIO","D2","ISSUED","5/16/2008","1616 W 25TH ST","","CLEVELAND","OH","44113","CLEVELAND","CUYAHOGA","00944","NOT A QUOTA EXEMPT CLASS","NO"
"6548374","1616 ARABIC RESTAURANT INC","DBA KAN ZAMAN & PATIO","D3","ISSUED","5/16/2008","1616 W 25TH ST","","CLEVELAND","OH","44113","CLEVELAND","CUYAHOGA","00944","NOT A QUOTA EXEMPT CLASS","NO"
"6548374","1616 ARABIC RESTAURANT INC","DBA KAN ZAMAN & PATIO","D3A","ISSUED","5/16/2008","1616 W 25TH ST","","CLEVELAND","OH","44113","CLEVELAND","CUYAHOGA","00944","NOT A QUOTA EXEMPT CLASS","NO"
"6548374","1616 ARABIC RESTAURANT INC","DBA KAN ZAMAN & PATIO","D6","ISSUED","5/16/2008","1616 W 25TH ST","","CLEVELAND","OH","44113","CLEVELAND","CUYAHOGA","00944","NOT A QUOTA EXEMPT CLASS","NO"
"6552378","17007 LORAIN AVENUE INC","DBA BACKSTAGE BAR & PATIOS","D2","ISSUED","12/4/1979","17005-07 LORAIN AV","","CLEVELAND","OHIO","44111","CLEVELAND","CUYAHOGA","00901","NOT A QUOTA EXEMPT CLASS","NO"
"6552378","17007 LORAIN AVENUE INC","DBA BACKSTAGE BAR & PATIOS","D2X","ISSUED","12/4/1979","17005-07 LORAIN AV","","CLEVELAND","OHIO","44111","CLEVELAND","CUYAHOGA","00901","NOT A QUOTA EXEMPT CLASS","NO"
"6552378","17007 LORAIN AVENUE INC","DBA BACKSTAGE BAR & PATIOS","D3","ISSUED","12/4/1979","17005-07 LORAIN AV","","CLEVELAND","OHIO","44111","CLEVELAND","CUYAHOGA","00901","NOT A QUOTA EXEMPT CLASS","NO"
"6552378","17007 LORAIN AVENUE INC","DBA BACKSTAGE BAR & PATIOS","D3A","ISSUED","6/20/1980","17005-07 LORAIN AV","","CLEVELAND","OHIO","44111","CLEVELAND","CUYAHOGA","00901","NOT A QUOTA EXEMPT CLASS","NO"
"6552378","17007 LORAIN AVENUE INC","DBA BACKSTAGE BAR & PATIOS","D6","ISSUED","10/4/1984","17005-07 LORAIN AV","","CLEVELAND","OHIO","44111","CLEVELAND","CUYAHOGA","00901","NOT A QUOTA EXEMPT CLASS","NO"
"6550246","17219 LORAIN AVE CORP","","D5","ISSUED","6/28/2002","17219 LORAIN AV","","CLEVELAND","OHIO","44111","CLEVELAND","CUYAHOGA","00925","NOT A QUOTA EXEMPT CLASS","NO"
"6550246","17219 LORAIN AVE CORP","","D6","ISSUED","6/28/2002","17219 LORAIN AV","","CLEVELAND","OHIO","44111","CLEVELAND","CUYAHOGA","00925","NOT A QUOTA EXEMPT CLASS","NO"
"6529978","17304 DELI LLC","DBA UPTOWN DELI","C1","ISSUED","2/20/2019","17304 HARVARD AVE","","CLEVELAND","OH","44128","CLEVELAND","CUYAHOGA","","TRANSFER EXEMPT","NO"
"6529978","17304 DELI LLC","DBA UPTOWN DELI","C2","ISSUED","2/20/2019","17304 HARVARD AVE","","CLEVELAND","OH","44128","CLEVELAND","CUYAHOGA","","TRANSFER EXEMPT","NO"
"6529978","17304 DELI LLC","DBA UPTOWN DELI","D6","ISSUED","7/7/2023","17304 HARVARD AVE","","CLEVELAND","OH","44128","CLEVELAND","CUYAHOGA","","NOT A QUOTA EXEMPT CLASS","NO"
"6548774","17322 HARVARD LLC","","D1","ISSUED","8/16/2012","17322-24 HARVARD AV 1ST FL EAST","","CLEVELAND","OH","44128","CLEVELAND","CUYAHOGA","00934","NOT A QUOTA EXEMPT CLASS","NO"
"6548774","17322 HARVARD LLC","","D2","ISSUED","8/16/2012","17322-24 HARVARD AV 1ST FL EAST","","CLEVELAND","OH","44128","CLEVELAND","CUYAHOGA","00934","NOT A QUOTA EXEMPT CLASS","NO"
"6548774","17322 HARVARD LLC","","D3","ISSUED","8/16/2012","17322-24 HARVARD AV 1ST FL EAST","","CLEVELAND","OH","44128","CLEVELAND","CUYAHOGA","00934","NOT A QUOTA EXEMPT CLASS","NO"
"6548774","17322 HARVARD LLC","","D3A","ISSUED","8/16/2012","17322-24 HARVARD AV 1ST FL EAST","","CLEVELAND","OH","44128","CLEVELAND","CUYAHOGA","00934","NOT A QUOTA EXEMPT CLASS","NO"
"6548774","17322 HARVARD LLC","","D6","ISSUED","8/16/2012","17322-24 HARVARD AV 1ST FL EAST","","CLEVELAND","OH","44128","CLEVELAND","CUYAHOGA","00934","NOT A QUOTA EXEMPT CLASS","NO"
"6548694","1840 D HURON LLC","DBA PANINIS GATEWAY 1ST FL & BSMT & PATIO","D1","ISSUED","9/9/2002","840-48 HURON RD","& 2132 E 9TH ST 1ST FL UNIT","CLEVELAND","OHIO","44115","CLEVELAND","CUYAHOGA","00969","NOT A QUOTA EXEMPT CLASS","NO"
"6548694","1840 D HURON LLC","DBA PANINIS GATEWAY 1ST FL & BSMT & PATIO","D2","ISSUED","9/9/2002","840-48 HURON RD","& 2132 E 9TH ST 1ST FL UNIT","CLEVELAND","OHIO","44115","CLEVELAND","CUYAHOGA","00969","NOT A QUOTA EXEMPT CLASS","NO"
"6548694","1840 D HURON LLC","DBA PANINIS GATEWAY 1ST FL & BSMT & PATIO","D3","ISSUED","9/9/2002","840-48 HURON RD","& 2132 E 9TH ST 1ST FL UNIT","CLEVELAND","OHIO","44115","CLEVELAND","CUYAHOGA","00969","NOT A QUOTA EXEMPT CLASS","NO"
"6548694","1840 D HURON LLC","DBA PANINIS GATEWAY 1ST FL & BSMT & PATIO","D3A","ISSUED","9/9/2002","840-48 HURON RD","& 2132 E 9TH ST 1ST FL UNIT","CLEVELAND","OHIO","44115","CLEVELAND","CUYAHOGA","00969","NOT A QUOTA EXEMPT CLASS","NO"
"6548694","1840 D HURON LLC","DBA PANINIS GATEWAY 1ST FL & BSMT & PATIO","D6","ISSUED","9/9/2002","840-48 HURON RD","& 2132 E 9TH ST 1ST FL UNIT","CLEVELAND","OHIO","44115","CLEVELAND","CUYAHOGA","00969","NOT A QUOTA EXEMPT CLASS","NO"
